Filename,Loss_Type,Subject,Object,Action,Mode,L2_Error_mm,Jerk,Contact_Pts,Penetration,Self_Collision_%
allegro_originalloss_s1_airplane_fly_1_drop.npy,originalloss,s1,airplane,fly_1,drop,10.6,0.001044,0.69,0.02,0.0
allegro_originalloss_s1_airplane_fly_1_nn.npy,originalloss,s1,airplane,fly_1,nn,10.29,0.001095,0.7,0.09,0.0
allegro_originalloss_s1_airplane_fly_1_simple.npy,originalloss,s1,airplane,fly_1,simple,8.59,0.001043,0.69,0.02,0.0
allegro_originalloss_s1_alarmclock_lift_drop.npy,originalloss,s1,alarmclock,lift,drop,11.95,0.002021,0.54,0.02,0.0
allegro_originalloss_s1_alarmclock_lift_nn.npy,originalloss,s1,alarmclock,lift,nn,10.37,0.001977,0.59,0.0,0.0
allegro_originalloss_s1_alarmclock_lift_simple.npy,originalloss,s1,alarmclock,lift,simple,11.68,0.001896,0.53,0.02,0.0
allegro_originalloss_s1_apple_eat_1_drop.npy,originalloss,s1,apple,eat_1,drop,9.69,0.002301,0.96,1.65,0.0
allegro_originalloss_s1_apple_eat_1_nn.npy,originalloss,s1,apple,eat_1,nn,6.97,0.001571,0.88,1.82,0.0
allegro_originalloss_s1_apple_eat_1_simple.npy,originalloss,s1,apple,eat_1,simple,10.54,0.002294,0.96,1.64,0.0
allegro_originalloss_s1_banana_eat_1_drop.npy,originalloss,s1,banana,eat_1,drop,7.63,0.002676,0.29,0.05,0.0
allegro_originalloss_s1_banana_eat_1_nn.npy,originalloss,s1,banana,eat_1,nn,7.24,0.002702,0.29,0.05,0.0
allegro_originalloss_s1_banana_eat_1_simple.npy,originalloss,s1,banana,eat_1,simple,7.09,0.002734,0.29,0.05,0.0
allegro_originalloss_s1_binoculars_lift_drop.npy,originalloss,s1,binoculars,lift,drop,10.53,0.003002,0.56,0.81,0.0
allegro_originalloss_s1_binoculars_lift_nn.npy,originalloss,s1,binoculars,lift,nn,7.18,0.003199,0.63,0.72,0.0
allegro_originalloss_s1_binoculars_lift_simple.npy,originalloss,s1,binoculars,lift,simple,9.69,0.003229,0.55,0.81,0.0
allegro_originalloss_s1_bowl_drink_1_drop.npy,originalloss,s1,bowl,drink_1,drop,7.66,0.000473,0.8,0.07,0.0
allegro_originalloss_s1_bowl_drink_1_nn.npy,originalloss,s1,bowl,drink_1,nn,6.99,0.000452,1.12,0.13,0.0
allegro_originalloss_s1_bowl_drink_1_simple.npy,originalloss,s1,bowl,drink_1,simple,8.28,0.000548,0.82,0.07,0.0
allegro_originalloss_s1_camera_browse_1_drop.npy,originalloss,s1,camera,browse_1,drop,10.52,0.003039,0.25,0.0,0.0
allegro_originalloss_s1_camera_browse_1_nn.npy,originalloss,s1,camera,browse_1,nn,7.28,0.003568,0.18,0.0,0.0
allegro_originalloss_s1_camera_browse_1_simple.npy,originalloss,s1,camera,browse_1,simple,9.15,0.003525,0.24,0.0,0.0
allegro_originalloss_s1_cubelarge_inspect_1_drop.npy,originalloss,s1,cubelarge,inspect_1,drop,14.35,0.001132,0.65,1.08,0.0
allegro_originalloss_s1_cubelarge_inspect_1_nn.npy,originalloss,s1,cubelarge,inspect_1,nn,10.67,0.001218,0.52,1.29,0.0
allegro_originalloss_s1_cubelarge_inspect_1_simple.npy,originalloss,s1,cubelarge,inspect_1,simple,14.57,0.001121,0.65,1.08,0.0
allegro_originalloss_s1_cubemedium_inspect_1_drop.npy,originalloss,s1,cubemedium,inspect_1,drop,11.74,0.001454,0.17,0.32,0.0
allegro_originalloss_s1_cubemedium_inspect_1_nn.npy,originalloss,s1,cubemedium,inspect_1,nn,8.43,0.00184,0.21,0.43,0.0
allegro_originalloss_s1_cubemedium_inspect_1_simple.npy,originalloss,s1,cubemedium,inspect_1,simple,10.89,0.001518,0.17,0.32,0.0
allegro_originalloss_s1_cubesmall_inspect_1_drop.npy,originalloss,s1,cubesmall,inspect_1,drop,13.01,0.00147,0.07,0.14,0.0
allegro_originalloss_s1_cubesmall_inspect_1_nn.npy,originalloss,s1,cubesmall,inspect_1,nn,12.71,0.001571,0.15,0.05,0.0
allegro_originalloss_s1_cubesmall_inspect_1_simple.npy,originalloss,s1,cubesmall,inspect_1,simple,13.34,0.00158,0.06,0.14,0.0
allegro_originalloss_s1_cup_drink_1_drop.npy,originalloss,s1,cup,drink_1,drop,11.32,0.001379,0.74,0.21,0.0
allegro_originalloss_s1_cup_drink_1_nn.npy,originalloss,s1,cup,drink_1,nn,8.21,0.001675,0.74,0.26,0.0
allegro_originalloss_s1_cup_drink_1_simple.npy,originalloss,s1,cup,drink_1,simple,10.92,0.001466,0.74,0.21,0.0
allegro_originalloss_s1_cylinderlarge_inspect_1_drop.npy,originalloss,s1,cylinderlarge,inspect_1,drop,12.98,0.001377,0.41,0.89,0.0
allegro_originalloss_s1_cylinderlarge_inspect_1_nn.npy,originalloss,s1,cylinderlarge,inspect_1,nn,6.12,0.002449,0.33,1.04,0.0
allegro_originalloss_s1_cylinderlarge_inspect_1_simple.npy,originalloss,s1,cylinderlarge,inspect_1,simple,11.33,0.00168,0.4,0.89,0.0
allegro_originalloss_s1_cylindermedium_inspect_1_drop.npy,originalloss,s1,cylindermedium,inspect_1,drop,10.03,0.003049,0.52,0.37,0.0
allegro_originalloss_s1_cylindermedium_inspect_1_nn.npy,originalloss,s1,cylindermedium,inspect_1,nn,8.27,0.004017,0.5,0.41,0.0
allegro_originalloss_s1_cylindermedium_inspect_1_simple.npy,originalloss,s1,cylindermedium,inspect_1,simple,9.78,0.00337,0.53,0.36,0.0
allegro_originalloss_s1_cylindersmall_inspect_1_drop.npy,originalloss,s1,cylindersmall,inspect_1,drop,9.32,0.002172,0.62,0.32,0.0
allegro_originalloss_s1_cylindersmall_inspect_1_nn.npy,originalloss,s1,cylindersmall,inspect_1,nn,5.79,0.001969,0.7,0.35,0.0
allegro_originalloss_s1_cylindersmall_inspect_1_simple.npy,originalloss,s1,cylindersmall,inspect_1,simple,7.1,0.002073,0.62,0.32,0.0
allegro_originalloss_s1_doorknob_use_1_drop.npy,originalloss,s1,doorknob,use_1,drop,9.42,0.002529,0.39,0.0,0.0
allegro_originalloss_s1_doorknob_use_1_nn.npy,originalloss,s1,doorknob,use_1,nn,5.86,0.002029,0.5,0.0,0.0
allegro_originalloss_s1_doorknob_use_1_simple.npy,originalloss,s1,doorknob,use_1,simple,9.09,0.002295,0.4,0.0,0.0
allegro_sdfloss_s1_airplane_fly_1_nn.npy,sdfloss,s1,airplane,fly_1,nn,9.37,0.003742,1.04,0.1,0.0
allegro_sdfloss_s1_alarmclock_lift_nn.npy,sdfloss,s1,alarmclock,lift,nn,6.11,0.005084,0.37,0.0,0.0
